// Creator: RBR Ltd.
// Create time: 2024-06-20T18:45:36
// Instrument model firmware and serialID: RBRduo³ 1.15 233860
// Sample period: 0.5 second
// Processing history:
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
// 
timestamp(yyyy-mm-ddTHH:MM:ss.FFF),temperature(°C),temperature1(°C)
2024-05-23T15:20:43.000,    0.15100727322828789,    0.1495685159031268
2024-05-23T15:20:43.500,    0.15100727322828789,    0.1495685159031268
2024-05-23T15:20:44.000,    0.1515719522618042,    0.14992313608217955
2024-05-23T15:20:44.500,    0.1515719522618042,    0.14992313608217955
2024-05-23T15:20:45.000,    0.1515719522618042,    0.14992313608217955
2024-05-23T15:20:45.500,    0.1515714243845423,    0.14992260475980856
2024-05-23T15:20:46.000,    0.15121480511049867,    0.14949079081054606
2024-05-23T15:20:46.500,    0.15121480511049867,    0.14949079081054606
2024-05-23T15:20:47.000,    0.15121480511049867,    0.14949079081054606
2024-05-23T15:20:47.500,    0.15121480511049867,    0.14949079081054606
2024-05-23T15:20:48.000,    0.15121480511049867,    0.14949079081054606
2024-05-23T15:20:48.500,    0.15109414707785618,    0.14942278131860576
2024-05-23T15:20:49.000,    0.15109414707785618,    0.14942278131860576
2024-05-23T15:20:49.500,    0.15109414707785618,    0.14942278131860576
2024-05-23T15:20:50.000,    0.15109414707785618,    0.14942278131860576
2024-05-23T15:20:50.500,    0.1514947313353332,    0.1498308377671833
2024-05-23T15:20:51.000,    0.1514947313353332,    0.1498308377671833
2024-05-23T15:20:51.500,    0.1514947313353332,    0.1498308377671833
2024-05-23T15:20:52.000,    0.1514947313353332,    0.1498308377671833
2024-05-23T15:20:52.500,    0.15191461959585695,    0.15025832418035634
2024-05-23T15:20:53.000,    0.15191461959585695,    0.15025832418035634
2024-05-23T15:20:53.500,    0.15191461959585695,    0.15025832418035634
2024-05-23T15:20:54.000,    0.15191461959585695,    0.15025832418035634
2024-05-23T15:20:54.500,    0.15163469423237075,    0.15011744812238703
2024-05-23T15:20:55.000,    0.15163469423237075,    0.15011744812238703
2024-05-23T15:20:55.500,    0.15163469423237075,    0.15011744812238703
2024-05-23T15:20:56.000,    0.15163469423237075,    0.15011744812238703
2024-05-23T15:20:56.500,    0.15191944589020068,    0.1502777553495207
2024-05-23T15:20:57.000,    0.15191944589020068,    0.1502777553495207
2024-05-23T15:20:57.500,    0.15191944589020068,    0.1502777553495207
2024-05-23T15:20:58.000,    0.15191944589020068,    0.1502777553495207
2024-05-23T15:20:58.500,    0.1515188628795272,    0.15016602608966423
2024-05-23T15:20:59.000,    0.1515188628795272,    0.15016602608966423
2024-05-23T15:20:59.500,    0.1515188628795272,    0.15016602608966423
2024-05-23T15:21:00.000,    0.1515188628795272,    0.15016602608966423
2024-05-23T15:21:00.500,    0.15183739886327885,    0.15047206689018822
2024-05-23T15:21:01.000,    0.15183739886327885,    0.15047206689018822
2024-05-23T15:21:01.500,    0.15183739886327885,    0.15047206689018822
2024-05-23T15:21:02.000,    0.15183739886327885,    0.15047206689018822
2024-05-23T15:21:02.500,    0.15162986792802258,    0.1503894845188256
2024-05-23T15:21:03.000,    0.15162986792802258,    0.1503894845188256
2024-05-23T15:21:03.500,    0.15162986792802258,    0.1503894845188256
2024-05-23T15:21:04.000,    0.15162986792802258,    0.1503894845188256
2024-05-23T15:21:04.500,    0.1519628825315067,    0.15011259032473845
2024-05-23T15:21:05.000,    0.1519628825315067,    0.15011259032473845
2024-05-23T15:21:05.500,    0.1519628825315067,    0.15011259032473845
2024-05-23T15:21:06.000,    0.1519628825315067,    0.15011259032473845
